           x        y(x)
  1.0101e-02  7.3064e-05
  2.0202e-02  1.3828e-04
  3.0303e-02  1.9641e-04
  4.0404e-02  2.4813e-04
  5.0505e-02  2.9406e-04
  6.0606e-02  3.3474e-04
  7.0707e-02  3.7070e-04
  8.0808e-02  4.0238e-04
  9.0909e-02  4.3018e-04
  1.0101e-01  4.5449e-04
  1.1111e-01  4.7564e-04
  1.2121e-01  4.9394e-04
  1.3131e-01  5.0965e-04
  1.4141e-01  5.2303e-04
  1.5152e-01  5.3430e-04
  1.6162e-01  5.4366e-04
  1.7172e-01  5.5129e-04
  1.8182e-01  5.5737e-04
  1.9192e-01  5.6204e-04
  2.0202e-01  5.6544e-04
  2.1212e-01  5.6768e-04
  2.2222e-01  5.6889e-04
  2.3232e-01  5.6915e-04
  2.4242e-01  5.6856e-04
  2.5253e-01  5.6721e-04
  2.6263e-01  5.6516e-04
  2.7273e-01  5.6249e-04
  2.8283e-01  5.5924e-04
  2.9293e-01  5.5548e-04
  3.0303e-01  5.5126e-04
  3.1313e-01  5.4662e-04
  3.2323e-01  5.4160e-04
  3.3333e-01  5.3624e-04
  3.4343e-01  5.3057e-04
  3.5354e-01  5.2462e-04
  3.6364e-01  5.1842e-04
  3.7374e-01  5.1199e-04
  3.8384e-01  5.0535e-04
  3.9394e-01  4.9852e-04
  4.0404e-01  4.9153e-04
  4.1414e-01  4.8438e-04
  4.2424e-01  4.7709e-04
  4.3434e-01  4.6968e-04
  4.4444e-01  4.6216e-04
  4.5455e-01  4.5453e-04
  4.6465e-01  4.4682e-04
  4.7475e-01  4.3902e-04
  4.8485e-01  4.3114e-04
  4.9495e-01  4.2320e-04
  5.0505e-01  4.1519e-04
  5.1515e-01  4.0713e-04
  5.2525e-01  3.9902e-04
  5.3535e-01  3.9087e-04
  5.4545e-01  3.8267e-04
  5.5556e-01  3.7443e-04
  5.6566e-01  3.6617e-04
  5.7576e-01  3.5787e-04
  5.8586e-01  3.4954e-04
  5.9596e-01  3.4119e-04
  6.0606e-01  3.3282e-04
  6.1616e-01  3.2443e-04
  6.2626e-01  3.1601e-04
  6.3636e-01  3.0759e-04
  6.4646e-01  2.9914e-04
  6.5657e-01  2.9069e-04
  6.6667e-01  2.8222e-04
  6.7677e-01  2.7374e-04
  6.8687e-01  2.6525e-04
  6.9697e-01  2.5675e-04
  7.0707e-01  2.4824e-04
  7.1717e-01  2.3973e-04
  7.2727e-01  2.3121e-04
  7.3737e-01  2.2268e-04
  7.4747e-01  2.1415e-04
  7.5758e-01  2.0561e-04
  7.6768e-01  1.9707e-04
  7.7778e-01  1.8852e-04
  7.8788e-01  1.7997e-04
  7.9798e-01  1.7142e-04
  8.0808e-01  1.6286e-04
  8.1818e-01  1.5431e-04
  8.2828e-01  1.4575e-04
  8.3838e-01  1.3718e-04
  8.4848e-01  1.2862e-04
  8.5859e-01  1.2005e-04
  8.6869e-01  1.1148e-04
  8.7879e-01  1.0291e-04
  8.8889e-01  9.4342e-05
  8.9899e-01  8.5769e-05
  9.0909e-01  7.7196e-05
  9.1919e-01  6.8621e-05
  9.2929e-01  6.0046e-05
  9.3939e-01  5.1470e-05
  9.4949e-01  4.2893e-05
  9.5960e-01  3.4315e-05
  9.6970e-01  2.5737e-05
  9.7980e-01  1.7159e-05
  9.8990e-01  8.5795e-06
