           x        y(x)
  1.0000e+01  9.6828e-02
  1.2000e+01  6.6115e-02
  1.5000e+01  4.1454e-02
  1.9000e+01  2.5328e-02
  2.5000e+01  1.4343e-02
  3.1000e+01  9.2080e-03
  3.9000e+01  5.7511e-03
  5.0000e+01  3.4636e-03
  6.3000e+01  2.1651e-03
  7.9000e+01  1.3686e-03
  1.0000e+02  8.4982e-04
  1.2500e+02  5.4179e-04
  1.5800e+02  3.3801e-04
  1.9900e+02  2.1254e-04
  2.5100e+02  1.3332e-04
  3.1600e+02  8.3980e-05
  3.9800e+02  5.2872e-05
  5.0100e+02  3.3333e-05
  6.3000e+02  2.1063e-05
  7.9400e+02  1.3252e-05
  1.0000e+03  8.3500e-06
  1.2580e+03  5.2741e-06
  1.5840e+03  3.3255e-06
  1.9950e+03  2.0959e-06
  2.5110e+03  1.3227e-06
  3.1620e+03  8.3401e-07
  3.9810e+03  5.2608e-07
  5.0110e+03  3.3200e-07
  6.3090e+03  2.0943e-07
  7.9430e+03  1.3211e-07
  1.0000e+04  8.3347e-08
  1.2589e+04  5.2586e-08
  1.5848e+04  3.3177e-08
  1.9952e+04  2.0926e-08
  2.5118e+04  1.3262e-08
  3.1622e+04  8.4745e-09
  3.9810e+04  5.4945e-09
  5.0118e+04  3.7191e-09
  6.3095e+04  2.6321e-09
  7.9432e+04  1.9281e-09
  1.0000e+05  1.4356e-09
  1.2589e+05  1.2219e-09
  1.5849e+05  2.5451e-09
  1.9953e+05  5.8238e-09
  2.5119e+05  1.9591e-08
  3.1623e+05  6.3773e-08
  3.9811e+05  1.9516e-07
  5.0119e+05  3.5797e-07
  6.3096e+05  5.2947e-07
  7.9433e+05  6.9475e-07
  1.0000e+06  8.4041e-07
  1.2589e+06  9.5789e-07
  1.5849e+06  1.0397e-06
  1.9953e+06  1.0829e-06
  2.5119e+06  1.0992e-06
  3.1623e+06  1.1667e-06
  3.9811e+06  1.2411e-06
  5.0119e+06  1.3133e-06
  6.3096e+06  1.3656e-06
  7.9433e+06  1.3725e-06
  1.0000e+07  2.9838e-06
