           x        y(x)
  0.0000e+00  0.0000e+00
  1.0101e-02  8.5902e-02
  2.0202e-02  1.6258e-01
  3.0303e-02  2.3093e-01
  4.0404e-02  2.9173e-01
  5.0505e-02  3.4573e-01
  6.0606e-02  3.9357e-01
  7.0707e-02  4.3584e-01
  8.0808e-02  4.7308e-01
  9.0909e-02  5.0577e-01
  1.0101e-01  5.3436e-01
  1.1111e-01  5.5923e-01
  1.2121e-01  5.8073e-01
  1.3131e-01  5.9921e-01
  1.4141e-01  6.1493e-01
  1.5152e-01  6.2818e-01
  1.6162e-01  6.3919e-01
  1.7172e-01  6.4817e-01
  1.8182e-01  6.5531e-01
  1.9192e-01  6.6080e-01
  2.0202e-01  6.6479e-01
  2.1212e-01  6.6743e-01
  2.2222e-01  6.6885e-01
  2.3232e-01  6.6916e-01
  2.4242e-01  6.6847e-01
  2.5253e-01  6.6688e-01
  2.6263e-01  6.6447e-01
  2.7273e-01  6.6133e-01
  2.8283e-01  6.5751e-01
  2.9293e-01  6.5309e-01
  3.0303e-01  6.4813e-01
  3.1313e-01  6.4268e-01
  3.2323e-01  6.3678e-01
  3.3333e-01  6.3047e-01
  3.4343e-01  6.2380e-01
  3.5354e-01  6.1681e-01
  3.6364e-01  6.0951e-01
  3.7374e-01  6.0195e-01
  3.8384e-01  5.9415e-01
  3.9394e-01  5.8612e-01
  4.0404e-01  5.7790e-01
  4.1414e-01  5.6949e-01
  4.2424e-01  5.6093e-01
  4.3434e-01  5.5221e-01
  4.4444e-01  5.4337e-01
  4.5455e-01  5.3441e-01
  4.6465e-01  5.2533e-01
  4.7475e-01  5.1616e-01
  4.8485e-01  5.0690e-01
  4.9495e-01  4.9756e-01
  5.0505e-01  4.8815e-01
  5.1515e-01  4.7867e-01
  5.2525e-01  4.6914e-01
  5.3535e-01  4.5955e-01
  5.4545e-01  4.4991e-01
  5.5556e-01  4.4023e-01
  5.6566e-01  4.3051e-01
  5.7576e-01  4.2075e-01
  5.8586e-01  4.1096e-01
  5.9596e-01  4.0115e-01
  6.0606e-01  3.9130e-01
  6.1616e-01  3.8143e-01
  6.2626e-01  3.7154e-01
  6.3636e-01  3.6163e-01
  6.4646e-01  3.5171e-01
  6.5657e-01  3.4177e-01
  6.6667e-01  3.3181e-01
  6.7677e-01  3.2184e-01
  6.8687e-01  3.1186e-01
  6.9697e-01  3.0187e-01
  7.0707e-01  2.9186e-01
  7.1717e-01  2.8185e-01
  7.2727e-01  2.7183e-01
  7.3737e-01  2.6181e-01
  7.4747e-01  2.5178e-01
  7.5758e-01  2.4174e-01
  7.6768e-01  2.3170e-01
  7.7778e-01  2.2165e-01
  7.8788e-01  2.1160e-01
  7.9798e-01  2.0154e-01
  8.0808e-01  1.9148e-01
  8.1818e-01  1.8142e-01
  8.2828e-01  1.7136e-01
  8.3838e-01  1.6129e-01
  8.4848e-01  1.5122e-01
  8.5859e-01  1.4115e-01
  8.6869e-01  1.3107e-01
  8.7879e-01  1.2100e-01
  8.8889e-01  1.1092e-01
  8.9899e-01  1.0084e-01
  9.0909e-01  9.0760e-02
  9.1919e-01  8.0679e-02
  9.2929e-01  7.0597e-02
  9.3939e-01  6.0514e-02
  9.4949e-01  5.0430e-02
  9.5960e-01  4.0345e-02
  9.6970e-01  3.0260e-02
  9.7980e-01  2.0174e-02
  9.8990e-01  1.0087e-02
  1.0000e+00  0.0000e+00
