           x       y0(x)       y1(x)       y2(x)
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  9.9010e-03  4.3764e-03  8.7485e-03 -1.3112e-02
  1.9802e-02  8.7485e-03  1.7463e-02 -2.6110e-02
  2.9703e-02  1.3112e-02  2.6110e-02 -3.8881e-02
  3.9604e-02  1.7463e-02  3.4656e-02 -5.1314e-02
  4.9505e-02  2.1797e-02  4.3068e-02 -6.3300e-02
  5.9406e-02  2.6110e-02  5.1314e-02 -7.4735e-02
  6.9307e-02  3.0398e-02  5.9360e-02 -8.5520e-02
  7.9208e-02  3.4656e-02  6.7178e-02 -9.5561e-02
  8.9109e-02  3.8881e-02  7.4735e-02 -1.0477e-01
  9.9010e-02  4.3068e-02  8.2003e-02 -1.1307e-01
  1.0891e-01  4.7214e-02  8.8954e-02 -1.2038e-01
  1.1881e-01  5.1314e-02  9.5561e-02 -1.2665e-01
  1.2871e-01  5.5364e-02  1.0180e-01 -1.3181e-01
  1.3861e-01  5.9360e-02  1.0764e-01 -1.3583e-01
  1.4851e-01  6.3300e-02  1.1307e-01 -1.3867e-01
  1.5842e-01  6.7178e-02  1.1806e-01 -1.4029e-01
  1.6832e-01  7.0991e-02  1.2259e-01 -1.4070e-01
  1.7822e-01  7.4735e-02  1.2665e-01 -1.3989e-01
  1.8812e-01  7.8407e-02  1.3022e-01 -1.3785e-01
  1.9802e-01  8.2003e-02  1.3328e-01 -1.3462e-01
  2.0792e-01  8.5520e-02  1.3583e-01 -1.3022e-01
  2.1782e-01  8.8954e-02  1.3785e-01 -1.2468e-01
  2.2772e-01  9.2302e-02  1.3934e-01 -1.1806e-01
  2.3762e-01  9.5561e-02  1.4029e-01 -1.1041e-01
  2.4752e-01  9.8727e-02  1.4070e-01 -1.0180e-01
  2.5743e-01  1.0180e-01  1.4057e-01 -9.2302e-02
  2.6733e-01  1.0477e-01  1.3989e-01 -8.2003e-02
  2.7723e-01  1.0764e-01  1.3867e-01 -7.0991e-02
  2.8713e-01  1.1041e-01  1.3691e-01 -5.9360e-02
  2.9703e-01  1.1307e-01  1.3462e-01 -4.7214e-02
  3.0693e-01  1.1562e-01  1.3181e-01 -3.4656e-02
  3.1683e-01  1.1806e-01  1.2849e-01 -2.1797e-02
  3.2673e-01  1.2038e-01  1.2468e-01 -8.7485e-03
  3.3663e-01  1.2259e-01  1.2038e-01  4.3764e-03
  3.4653e-01  1.2468e-01  1.1562e-01  1.7463e-02
  3.5644e-01  1.2665e-01  1.1041e-01  3.0398e-02
  3.6634e-01  1.2849e-01  1.0477e-01  4.3068e-02
  3.7624e-01  1.3022e-01  9.8727e-02  5.5364e-02
  3.8614e-01  1.3181e-01  9.2302e-02  6.7178e-02
  3.9604e-01  1.3328e-01  8.5520e-02  7.8407e-02
  4.0594e-01  1.3462e-01  7.8407e-02  8.8954e-02
  4.1584e-01  1.3583e-01  7.0991e-02  9.8727e-02
  4.2574e-01  1.3691e-01  6.3300e-02  1.0764e-01
  4.3564e-01  1.3785e-01  5.5364e-02  1.1562e-01
  4.4554e-01  1.3867e-01  4.7214e-02  1.2259e-01
  4.5545e-01  1.3934e-01  3.8881e-02  1.2849e-01
  4.6535e-01  1.3989e-01  3.0398e-02  1.3328e-01
  4.7525e-01  1.4029e-01  2.1797e-02  1.3691e-01
  4.8515e-01  1.4057e-01  1.3112e-02  1.3934e-01
  4.9505e-01  1.4070e-01  4.3764e-03  1.4057e-01
  5.0495e-01  1.4070e-01 -4.3764e-03  1.4057e-01
  5.1485e-01  1.4057e-01 -1.3112e-02  1.3934e-01
  5.2475e-01  1.4029e-01 -2.1797e-02  1.3691e-01
  5.3465e-01  1.3989e-01 -3.0398e-02  1.3328e-01
  5.4455e-01  1.3934e-01 -3.8881e-02  1.2849e-01
  5.5446e-01  1.3867e-01 -4.7214e-02  1.2259e-01
  5.6436e-01  1.3785e-01 -5.5364e-02  1.1562e-01
  5.7426e-01  1.3691e-01 -6.3300e-02  1.0764e-01
  5.8416e-01  1.3583e-01 -7.0991e-02  9.8727e-02
  5.9406e-01  1.3462e-01 -7.8407e-02  8.8954e-02
  6.0396e-01  1.3328e-01 -8.5520e-02  7.8407e-02
  6.1386e-01  1.3181e-01 -9.2302e-02  6.7178e-02
  6.2376e-01  1.3022e-01 -9.8727e-02  5.5364e-02
  6.3366e-01  1.2849e-01 -1.0477e-01  4.3068e-02
  6.4356e-01  1.2665e-01 -1.1041e-01  3.0398e-02
  6.5347e-01  1.2468e-01 -1.1562e-01  1.7463e-02
  6.6337e-01  1.2259e-01 -1.2038e-01  4.3764e-03
  6.7327e-01  1.2038e-01 -1.2468e-01 -8.7485e-03
  6.8317e-01  1.1806e-01 -1.2849e-01 -2.1797e-02
  6.9307e-01  1.1562e-01 -1.3181e-01 -3.4656e-02
  7.0297e-01  1.1307e-01 -1.3462e-01 -4.7214e-02
  7.1287e-01  1.1041e-01 -1.3691e-01 -5.9360e-02
  7.2277e-01  1.0764e-01 -1.3867e-01 -7.0991e-02
  7.3267e-01  1.0477e-01 -1.3989e-01 -8.2003e-02
  7.4257e-01  1.0180e-01 -1.4057e-01 -9.2302e-02
  7.5248e-01  9.8727e-02 -1.4070e-01 -1.0180e-01
  7.6238e-01  9.5561e-02 -1.4029e-01 -1.1041e-01
  7.7228e-01  9.2302e-02 -1.3934e-01 -1.1806e-01
  7.8218e-01  8.8954e-02 -1.3785e-01 -1.2468e-01
  7.9208e-01  8.5520e-02 -1.3583e-01 -1.3022e-01
  8.0198e-01  8.2003e-02 -1.3328e-01 -1.3462e-01
  8.1188e-01  7.8407e-02 -1.3022e-01 -1.3785e-01
  8.2178e-01  7.4735e-02 -1.2665e-01 -1.3989e-01
  8.3168e-01  7.0991e-02 -1.2259e-01 -1.4070e-01
  8.4158e-01  6.7178e-02 -1.1806e-01 -1.4029e-01
  8.5149e-01  6.3300e-02 -1.1307e-01 -1.3867e-01
  8.6139e-01  5.9360e-02 -1.0764e-01 -1.3583e-01
  8.7129e-01  5.5364e-02 -1.0180e-01 -1.3181e-01
  8.8119e-01  5.1314e-02 -9.5561e-02 -1.2665e-01
  8.9109e-01  4.7214e-02 -8.8954e-02 -1.2038e-01
  9.0099e-01  4.3068e-02 -8.2003e-02 -1.1307e-01
  9.1089e-01  3.8881e-02 -7.4735e-02 -1.0477e-01
  9.2079e-01  3.4656e-02 -6.7178e-02 -9.5561e-02
  9.3069e-01  3.0398e-02 -5.9360e-02 -8.5520e-02
  9.4059e-01  2.6110e-02 -5.1314e-02 -7.4735e-02
  9.5050e-01  2.1797e-02 -4.3068e-02 -6.3300e-02
  9.6040e-01  1.7463e-02 -3.4656e-02 -5.1314e-02
  9.7030e-01  1.3112e-02 -2.6110e-02 -3.8881e-02
  9.8020e-01  8.7485e-03 -1.7463e-02 -2.6110e-02
  9.9010e-01  4.3764e-03 -8.7485e-03 -1.3112e-02
  1.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
