           x       y0(x)
  2.0000e+00  1.0000e+00
  3.0000e+00  9.0000e+00
  4.0000e+00  2.1000e+01
  5.0000e+00  3.3000e+01
  6.0000e+00  5.6000e+01
  7.0000e+00  7.3000e+01
  8.0000e+00  1.0300e+02
  9.0000e+00  1.3400e+02
  1.0000e+01  1.6900e+02
  1.1000e+01  2.1900e+02
  1.2000e+01  2.6100e+02
  1.3000e+01  3.0000e+02
  1.4000e+01  3.5700e+02
  1.5000e+01  4.3300e+02
  1.6000e+01  4.8100e+02
  1.7000e+01  5.5200e+02
  1.8000e+01  6.2600e+02
  1.9000e+01  6.8700e+02
  2.0000e+01  7.7800e+02
  2.1000e+01  8.7100e+02
  2.2000e+01  9.5900e+02
  2.3000e+01  1.0430e+03
  2.4000e+01  1.1560e+03
  2.5000e+01  1.2380e+03
  2.6000e+01  1.3470e+03
  2.7000e+01  1.4580e+03
  2.8000e+01  1.5700e+03
  2.9000e+01  1.7220e+03
  3.0000e+01  1.8360e+03
  3.1000e+01  1.9550e+03
  3.2000e+01  2.1010e+03
  3.3000e+01  2.2320e+03
  3.4000e+01  2.4120e+03
  3.5000e+01  2.5230e+03
  3.6000e+01  2.6720e+03
  3.7000e+01  2.8210e+03
  3.8000e+01  2.9910e+03
  3.9000e+01  3.1400e+03
  4.0000e+01  3.3350e+03
  4.1000e+01  3.4810e+03
  4.2000e+01  3.6560e+03
  4.3000e+01  3.8280e+03
  4.4000e+01  4.0850e+03
  4.5000e+01  4.2890e+03
  4.6000e+01  4.4180e+03
  4.7000e+01  4.6420e+03
  4.8000e+01  4.8620e+03
  4.9000e+01  5.0630e+03
  5.0000e+01  5.2840e+03
